github_url,exists,readme,readme_length,installation,CI,docs,fancy_docs,examples,requirements,setup
github.com/bwgref/nustar,False,False,False,False,False,False,False,False,False,False
github.com/c-matthews/usample,True,True,3889,True,False,False,False,True,True,False
github.com/california-planet-search/cksphys,False,False,False,False,False,False,False,False,False,False
github.com/california-planet-search/radvel,True,True,2966,True,True,True,True,True,True,False
github.com/camdavidsonpilon/lifelines,True,True,4670,True,True,True,True,True,True,False
github.com/carlnotsagan/reacsamp,True,True,900,False,False,False,False,False,False,False
github.com/carronj/lensit,True,True,1739,False,False,False,False,False,False,False
github.com/caseyjlaw/rtpipe,True,True,3540,True,False,False,False,False,True,False
github.com/caseyjlaw/tpipe,True,True,4518,True,False,False,False,False,True,False
github.com/caseywstark/dachshund,True,True,1681,False,False,False,False,True,False,False
github.com/cconroy20/fsps,True,True,2910,False,False,True,False,False,False,False
github.com/chandra-marx/marxs,True,True,867,False,True,True,True,True,True,False
github.com/chandracxc/iris,True,True,9762,True,True,False,False,False,False,False
github.com/chenjj2/forecaster,True,True,1172,False,False,False,False,False,False,False
github.com/chianti-atomic/chiantipy,True,True,3273,True,True,True,True,False,True,False
github.com/chrusher/measure_cat,True,True,2101,True,False,False,False,False,False,False
github.com/cinserra/s3,True,True,5763,False,False,False,False,False,True,False
github.com/cissilin/lin2018jgr_gitmno,True,False,False,False,False,False,False,False,False,False
github.com/ckrawczyk/densityplot,True,True,5150,False,False,False,False,True,True,False
github.com/cmbant/cosmomc,True,True,2115,True,True,True,True,False,False,False
github.com/cmbant/getdist,True,True,9540,True,True,True,True,False,True,False
github.com/cmbant/lenspix,True,False,False,False,False,False,False,False,False,False
github.com/cmccully/lacosmicx,True,True,2060,False,False,False,False,False,True,False
github.com/cmillion/gphoton,True,True,1253,False,True,True,True,True,True,False
github.com/coolworlds/orbital-stability,True,True,1279,False,False,False,True,False,False,False
github.com/cooperlab/adaptivekde,True,True,1563,False,False,False,False,False,True,False
github.com/cpm-project/mcpm,True,True,382,False,False,False,False,True,False,False
github.com/cschreib/fastpp,True,True,60231,True,True,False,False,True,False,False
github.com/csunlab/nfa,True,True,454,False,False,False,False,True,False,False
github.com/ctheissen/loki,True,True,1803,True,False,False,True,False,True,False
github.com/d-giles/keplerml,True,True,18,False,False,False,False,False,False,False
github.com/d80b2t/wise_lcs,True,True,488,False,False,False,False,False,False,False
github.com/dahowell/superﬁt,False,False,False,False,False,False,False,False,False,False
github.com/danxhuber/galclassify,True,True,7148,True,False,False,False,True,False,False
github.com/danxhuber/isoclassify,True,True,3805,False,False,False,False,True,True,False
github.com/danxhuber/k2epic,True,True,3762,False,False,False,False,True,False,False
github.com/darkenergysurvey/gcm,True,False,False,False,False,True,False,False,False,False
github.com/darkenergysurvey/psm,True,False,False,False,False,True,False,False,False,False
github.com/darkenergysurvey/ugali,True,True,5133,True,True,False,False,True,True,False
github.com/darrencroton/sage,True,True,1566,False,False,False,False,False,False,False
github.com/dask/distributed,True,True,167,False,True,True,True,False,True,False
github.com/david-macmahon/hashpipe,True,False,False,False,False,False,False,False,False,False
github.com/davidgardenier/chromos,True,True,9454,False,False,False,False,False,True,False
github.com/davidkipping/forecaster,True,True,418,False,False,False,False,False,False,False
github.com/davidreiman/deblender-gan-images,True,True,22,False,False,False,False,False,False,False
github.com/davidwhogg/selfcalibration,True,True,3274,False,False,False,False,False,False,False
github.com/dawolfgang/mrrelation,True,True,7627,True,False,False,False,False,False,False
github.com/dch216/exoplanetssyssim,False,False,False,False,False,False,False,False,False,False
github.com/ddemidov/vexcl,True,True,1275,False,True,True,True,True,False,False
github.com/demorest/nanopipe,True,False,False,False,False,True,False,False,True,False
github.com/demorest/sdmpy,True,True,8368,False,True,False,False,False,True,False
github.com/devanshkv/psrpoppy2,True,True,3507,True,False,True,False,False,False,False
github.com/dfm/acor,True,True,1373,True,False,False,False,False,True,False
github.com/dfm/celerite,True,True,2022,False,True,True,True,True,True,False
github.com/dfm/celerite8,False,False,False,False,False,False,False,False,False,False
github.com/dfm/corner,False,False,False,False,False,False,False,False,False,False
github.com/dfm/daft,True,True,552,False,False,True,True,True,True,False
github.com/dfm/emcee,True,True,2245,False,True,True,True,True,True,False
github.com/dfm/emcee3,True,True,1497,False,True,True,False,True,True,False
github.com/dfm/exopop,True,True,1749,False,False,True,False,False,False,False
github.com/dfm/george,True,True,983,False,True,True,True,True,True,False
github.com/dfm/k2-paper,True,True,97,False,False,False,False,False,False,False
github.com/dfm/ketu,True,True,218,False,False,False,False,False,True,False
github.com/dfm/photodynam,True,False,False,False,False,False,False,True,False,False
github.com/dfm/python-bls,True,True,2651,True,False,False,False,False,True,False
github.com/dfm/python-fsps,True,True,502,False,True,True,True,False,True,False
github.com/dfm/triangle,False,False,False,False,False,False,False,False,False,False
