arxiv_id,urls
arXiv:1606.04106,['github.com/astropy/' 'github.com/astropy/halotools']
arXiv:1306.5802,[]
arXiv:1406.2327,[]
arXiv:1707.07038,[]
arXiv:1901.00143,"['github.com/AndrewAnnex/SpiceyPy' 'github.com/MAVENSDC/cdflib'
 'github.com/MITHaystack/digital' 'github.com/aburrell/aacgmv2'
 'github.com/aburrell/apexpy' 'github.com/aburrell/ocbpy'
 'github.com/drsteve/PyForecastTools' 'github.com/fmihpc/analysator'
 'github.com/jma127/pyltr' 'github.com/jswoboda/GeoData'
 'github.com/klaundal/pyAMPS' 'github.com/lkilcommons/OvationPyme'
 'github.com/lkilcommons/geospacepy-lite' 'github.com/rstoneback/pysat'
 'github.com/rstoneback/pysatcdf' 'github.com/rstoneback/pysatmagvect'
 'github.com/spacepy/spacepy' 'github.com/timduly4/pyglow'
 'github.com/vtsuperdarn/davitpy']"
arXiv:1801.09119,['github.com/']
arXiv:1801.02634,"['github.com/astropy/astropy-APEs' 'github.com/astropy/astropy-tutorials'
 'github.com/astropy/astropy-v2' 'github.com/astropy/astropy/'
 'github.com/astropy/astropy/blob/stable/CHANGES'
 'github.com/astropy/ci-helpers' 'github.com/astropy/package-template/'
 'github.com/astropy/saba' 'github.com/brandon-rhodes/python-jplephem'
 'github.com/phn/pytpm' 'github.com/spacetelescope/gwcs']"
arXiv:1809.09777,"['github.com/PYPIT/COS_REDUX' 'github.com/linetools/linetools'
 'github.com/pyigm/pyigm']"
arXiv:1508.05336,['github.com/' 'github.com/farr/skyarea']
arXiv:1603.09438,"['github.com/' 'github.com/Samreay/Marz' 'github.com/eligrey/'
 'github.com/kriskowal/q' 'github.com/samreay/Marz'
 'github.com/substack/minimist']"
arXiv:1708.05426,"['github.com/low-sky/idl-low-sky/tree/master/wavelet'
 'github.com/low-sky/idl-low-sky/tree/master/wavelet)']"
arXiv:1709.04474,"['github.com/johnnygreco/hugs' 'github.com/kbarbary/sfdmap),']"
arXiv:1807.04794,['github.com/' 'github.com/hover2pi/']
arXiv:1603.00419,"['github.com/astroML/gatspy' 'github.com/astropy/photutils,'
 'github.com/jakevdp/supersmoother' 'github.com/jakevdp/supersmoother,'
 'github.com/leejjoon/pywcsgrid2'
 'github.com/stephtdouglas/k2phot/tree/hyades_paper/'
 'github.com/stephtdouglas/k2spin/tree/hyades_paper/']"
arXiv:1801.01947,['github.com/California-Planet-Search/radvel/issues']
arXiv:1403.1456,['github.com/steven-murray/hmf/']
arXiv:1807.04895,[]
arXiv:1709.08682,['github.com/hannorein/rebound']
arXiv:1609.04462,[]
arXiv:1508.04426,[]
arXiv:1601.03040,[]
arXiv:1801.03502,"['github.com/LucaMalavolta/CCFpams' 'github.com/LucaMalavolta/PyORBIT'
 'github.com/bmorris3/' 'github.com/dfm/george' 'github.com/hpparvi/PyDE']"
arXiv:1703.09710,['github.com/dfm/celerite' 'github.com/dfm/celerite8']
arXiv:1601.02706,"['github.com/awmann/Teff_rad_mass_lum' 'github.com/awmann/metal'
 'github.com/dawolfgang/MRrelation' 'github.com/hpparvi/ldtk'
 'github.com/timothydmorton/vespa']"
arXiv:1903.05320,['github.com/Yeqzids/' 'github.com/mkelley/zchecker/']
arXiv:1803.09746,"['github.com/owertz/pySPT' 'github.com/sibirrer/lenstronomy'
 'github.com/sibirrer/lenstronomy_extensions'
 'github.com/yasharhezaveh/Ensai']"
arXiv:1805.04118,['github.com/bd-j/prospector' 'github.com/kbarbary/']
arXiv:1701.03811,"['github.com/California-Planet-Search/radvel' 'github.com/petigura/k2phot'
 'github.com/petigura/terra']"
arXiv:1505.08123,"['github.com/borntyping/python-colorlog' 'github.com/pexpect/pexpect'
 'github.com/radio-astro-tools/casa-python'
 'github.com/timstaley/amisurvey'
 'github.com/timstaley/automated-radio-imaging-paper'
 'github.com/timstaley/chimenea,' 'github.com/timstaley/drive-ami,'
 'github.com/timstaley/drive-casa,']"
arXiv:1703.04803,['github.com/MCTwo/MCMAC']
arXiv:1509.00475,['github.com/gbrammer/' 'github.com/kasperschmidt/GLASSinspectionGUIs']
arXiv:1805.02578,['github.com/saint-' 'github.com/saint-germain/errorprediction']
arXiv:1712.00343,['github.com/xstarkit/MPI' 'github.com/xstarkit/mpi']
arXiv:1609.02144,"['github.com/' 'github.com/vallis/libstempo)'
 'github.com/vhaasteren/piccard' 'github.com/vhaasteren/piccard/outliers']"
arXiv:1708.01076,"['github.com/' 'github.com/tomevans/gps)' 'github.com/tomevans/planetc),']"
arXiv:1606.07473,"['github.com/AaronParsons/aipy,' 'github.com/BradGreig/21CMMC'
 'github.com/JeﬀZhen/omnical,' 'github.com/MiguelFMorales/FHD,'
 'github.com/MiguelFMorales/eppsilon,' 'github.com/jeﬀzhen/omnical)'
 'github.com/jpober/' 'github.com/jpober/21cmSense,'
 'github.com/nithyanandan/PRISim,']"
arXiv:1704.05556,['github.com/' 'github.com/dfm/emcee)']
arXiv:1610.05842,['github.com/ibackus/diskpy' 'github.com/pynbody/pynbody)']
arXiv:1703.06885,"['github.com/LucaMalavolta/' 'github.com/LucaMalavolta/PyORBIT'
 'github.com/dfm/emcee' 'github.com/hpparvi/PyTransit'
 'github.com/lucaborsato/']"
arXiv:1702.05488,['github.com/rodluger/' 'github.com/rodluger/everest']
arXiv:1703.10402,"['github.com/California-Planet-Search/cksphys/'
 'github.com/danxhuber/isoclassify' 'github.com/timothydmorton/isochrones']"
arXiv:1705.01948,[]
arXiv:1808.01702,[]
arXiv:1412.1085,[]
arXiv:1702.00834,"['github.com/mommermi/callhorizons'
 'github.com/mommermi/photometrypipeline']"
arXiv:1803.04091,"['github.com/KeplerGO/kadenza' 'github.com/hpparvi/ldtk/tree/v1'
 'github.com/petigura/k2phot' 'github.com/petigura/terra'
 'github.com/timothydmorton/isochrones']"
arXiv:1511.07437,[]
arXiv:1709.10398,"['github.com/KeplerGO/kadenza' 'github.com/lkreidberg/batman'
 'github.com/petigura/k2phot' 'github.com/petigura/terra'
 'github.com/samuelyeewl/specmatch-emp']"
arXiv:1607.03487,"['github.com/eteq/piscdwarfs_hst/blob/' 'github.com/eteq/piscdwarfs_hst;'
 'github.com/eteq/rgbmcmr']"
arXiv:1810.05312,['github.com/hannorein/rebound']
arXiv:1712.02813,[]
arXiv:1511.02870,['github.com/']
arXiv:1211.2023,['github.com/CosmoloP']
arXiv:1801.01481,['github.com/bthorne93/PySM_public' 'github.com/pqrs6/clee-fast']
arXiv:1901.10148,['github.com/MathewSchoﬁeld/ATL']
arXiv:1607.00524,"['github.com/rodluger/everest,' 'github.com/rodluger/pysyzygy']"
arXiv:1308.4982,"['github.com/GalSim-developers/GalSim'
 'github.com/GalSim-developers/GalSim/blob/master/devel/modules/lensing_engine'
 'github.com/barnabytprowe/' 'github.com/barnabytprowe/great3-public'
 'github.com/barnabytprowe/great3-public/wiki/']"
arXiv:1306.1778,[]
arXiv:1508.01700,[]
arXiv:1803.08173,"['github.com/JarronL/pynrc,']"
arXiv:1803.01962,[]
arXiv:1503.03899,[]
arXiv:1704.06377,[]
arXiv:1607.01874,['github.com/jaymurthy/JUDE)']
arXiv:1210.0014,['github.com/MCTwo/MCMAC' 'github.com/wadawson/merging-cluster-']
arXiv:1805.01906,['github.com/benmontet/UnbiasedRVs']
arXiv:1607.08237,['github.com/dfm/']
arXiv:1805.06921,['github.com/d80b2t' 'github.com/d80b2t/WISE_LCs']
arXiv:1703.01424,"['github.com/ericagol/TTVFaster,' 'github.com/kdeck/TTVFast,'
 'github.com/smirik/mercury']"
arXiv:1709.04987,[]
arXiv:1712.01121,"['github.com/natashabatalha/PandExo' 'github.com/pcubillos/pyratbay'
 'github.com/sdb05c/FiLeS']"
arXiv:1901.05855,"['github.com/dfm/acor' 'github.com/petigura/k2phot'
 'github.com/petigura/terra']"
arXiv:1609.09073,"['github.com/bd-j/prospector' 'github.com/cconroy20/fsps'
 'github.com/dfm/corner' 'github.com/dfm/python-fsps']"
arXiv:1705.02549,"['github.com/yuanjinghua/HMSCs_cat'
 'github.com/yuanjinghua/Top_Down_Miky_Way)']"
arXiv:1810.12876,"['github.com/InstituteForResearchInSchools/' 'github.com/amshenoy/'
 'github.com/willfurnell/lucid-grid/']"
arXiv:1307.4000,['github.com/']
arXiv:1712.10317,"['github.com/guangtunbenzhu/NonnegMFPy' 'github.com/seawander/centerRadon'
 'github.com/seawander/nmf_imaging']"
arXiv:1806.07512,['github.com/' 'github.com/jgagneastro/banyan_sigma']
arXiv:1702.04272,['github.com/skdaccess/skdaccess)']
arXiv:1702.02593,['github.com/']
arXiv:1806.03127,"['github.com/KeplerGO/kadenza' 'github.com/petigura/k2phot/'
 'github.com/petigura/terra' 'github.com/timothydmorton/isochrones/']"
arXiv:1712.06636,[]
arXiv:1707.06241,['github.com/mifumagalli/mypython/tree/']
arXiv:1601.03753,[]
arXiv:1809.08249,"['github.com/dhuppenkothen/magnetron2/tree/blazars'
 'github.com/eggplantbren/DNest4']"
arXiv:1706.03806,['github.com/glue-viz);']
arXiv:1706.05055,['github.com/' 'github.com/andersdot/photoParallax']
arXiv:1501.03798,['github.com/awmann/Teff_rad_mass_lum' 'github.com/awmann/metal']
arXiv:1804.02931,"['github.com/' 'github.com/PyDL/ASDA' 'github.com/PyDL/ASDA)'
 'github.com/PyDL/pyflct']"
arXiv:1706.02683,"['github.com/afrigeri/geologic-symbols)' 'github.com/epn-'
 'github.com/planetserver)']"
arXiv:1902.02789,"['github.com/dfm/acor' 'github.com/petigura/k2phot'
 'github.com/petigura/terra' 'github.com/samuelyeewl/specmatch-emp']"
arXiv:1608.03293,['github.com/sbird/fake_spectra' 'github.com/sbird/fake_spectra/voigtfit']
arXiv:1806.01848,['github.com/Chandra-' 'github.com/ericmandel/funtools']
arXiv:1507.08256,['github.com/awmann/Teff_rad_mass_lum' 'github.com/awmann/metal']
arXiv:1811.07961,['github.com/apmechev/GRID_LRT' 'github.com/mooneyse/LDR1-blazars']
arXiv:1602.01851,['github.com/dfm/python-bls' 'github.com/vincentvaneylen']
arXiv:1607.03886,['github.com/jradavenport/' 'github.com/jradavenport/FBEYE']
arXiv:1512.02221,"['github.com/sbird/' 'github.com/sbird/cloudy_tables'
 'github.com/sbird/fake_spectra']"
arXiv:1703.09711,['github.com/benelson/hjs' 'github.com/csunlab/NFA']
arXiv:1708.00839,"['github.com/cmillion/gPhoton/blob/master/docs/'
 'github.com/tboudreaux/FaRVaE' 'github.com/tboudreaux/FaRVaE),']"
